# command	number	identifier	name	group	image	ammo_number	carrier	description	stock	value
vehicle	0	UNIT_HUMMER	HUMVEE	Vehicles	UNIT_HUMMER.png			Class: Ground vehicle\nCombat strength: depends on weapon used\nArmor: low\nSpeed: high\nRange: depends on weapon used\nCrew: 2\nAdditional crew: 2\n\nThe HUMVEE is an all-terrain transport unit with light armor and variable weaponry. Weapons that can be used with this vehicle are the M60 machine gun, the Plamja grenade launcher, and the TOW anti-tank missile launcher. Of course, the weapons systems must be acquired separately and then mounted on the HUMVEE.		500
vehicle	1	UNIT_URAL	URAL	Vehicles	UNIT_URAL.png			Class: Transporter\nCombat strength: --\nArmor: low\nSpeed: medium\nRange: --\nCrew: 2\nAdditional crew: 8\n\nThe Ural is one of the main units used in almost all types of ground attacks. Unarmed and unarmored, it is often an easy target, but without it, your war machine won't keep running for long. Soldiers, weapons, ammunition... they're all transported to where they're needed in a Ural. Lose one and the battle could be over sooner than you thought.		350
vehicle	2	UNIT_FLOGGER	MiG-27	Vehicles	UNIT_FLOGGER.png					5000
vehicle	3	UNIT_2S3	HOW 2S3	Vehicles	UNIT_2S3.png			Class: Artillery\nCombat strength: high\nArmor: high\nSpeed: medium\nRange: 30km\nCrew: 4\n\nThe 2S3 is an older design self-propelled gun howitzer. Its 152mm smooth bore cannon fires a range of ammunition types over long distances. The crew don't even need visual contact with the target, just the coordinates, and the computer-guided firing system does the rest. In order to deploy its devastating firepower, the 2S3 must be mounted on several hydraulic supports for stability, so it is not currently mobile.		3000
vehicle	4	UNIT_BTR80	APC BTR	Vehicles	UNIT_BTR80.png			Class: Armored vehicle\nCombat strength: medium\nArmor: high\nSpeed: high\nRange: up to 100m\nCrew: 2\nAdditional crew: 6\n\nThe APC BTR is a next-generation armored vehicle. It has a 14.5mm heavy machine gun with lots of firepower and it is capable of transporting a large number of infantry personnel at high speed. Its wheeled design makes it faster and cheaper than other armored vehicles. Its effectiveness is increased still further by a 40mm smoke launcher.		1500
vehicle	5	UNIT_BM21	BM-21	Vehicles	UNIT_BM21.png			Class: Artillery\nCombat strength: high\nArmor: low\nSpeed: medium\nRange: 30km\nCrew: 2\n\nWhen it was introduced into operational service with the Russian army in the early 1960s, the BM-21 multiple rocket launcher was mounted on the Ural truck. It can provide a high volume of fire across a large area. The truck has an integrated tire pressure system, making it a very good all-terrain vehicle. One disadvantage of the BM-21 is its relatively low levels of ammunition.		3200
vehicle	6	UNIT_BMP1	ICV BMP	Vehicles	UNIT_BMP1.png			Class: Armored vehicle\nCombat strength: high\nArmor: high\nSpeed: medium\nRange: up to 140m\nCrew: 2\nAdditional crew: 6\n\nThe ICV BMP was developed at the beginning of the 1960s and for decades was the most effective armored vehicle around.\nIts 73mm rocket gun and anti-tank missile launcher make it a battle unit that should never be underestimated. The BMP-1 can transport up to 8 infantry units.		1800
vehicle	7	UNIT_BULL	BULL	Vehicles	UNIT_BULL.png			Class: Motorcycle\nCombat strength: --\nArmor: --\nSpeed: high\nRange: --\nCrew: 1\n\nThe Bull uses a V2 engine block, giving it a performance of over 90 HP. This all-terrain vehicle can reach high speeds on the road and is therefore one of the fastest ground vehicles available. It gives individual infantry soldiers the highest possible degree of mobility.		200
vehicle	8	UNIT_HIND	Mi-24 HIND	Vehicles	UNIT_HIND.png					6000
vehicle	9	UNIT_HIP	Mi-8 HIP	Vehicles	UNIT_HIP.png					4000
